Date,Month,Color,Side,Location,Number,Agency,Origin,Lot Number,Source of fish,Age,SL (mm),Release,Reach,Notes,Mark,C,L,S,Year,RM,lat,long,Truck temp,Comments
22-Oct-18,10,yellow,left,predorsal,20000,FRO,Dexter,,captive spawn,0,45,Santa Ana Pueblo,1,hard release,YLD 2018,Y,L,D,2018,207.3,35.36183484,-106.5152294,,
22-Oct-18,10,yellow,left,predorsal,20000,FRO,Dexter,,captive spawn,0,45,Sandia Pueblo,1,hard release,YLD 2018,Y,L,D,2018,197.8,35.26328363,-106.5952047,,
22-Oct-18,10,yellow,left,predorsal,20000,FRO,Dexter,,captive spawn,0,45,Alameda Bridge,1,hard release,YLD 2018,Y,L,D,2018,191.1,35.19357814,-106.6448151,,
13-Nov-18,11,orange,left,predorsal,1100,FRO,LLSMR,,captive spawn,0,35,4 miles below SADD,3,hard release,OLD 2018,O,L,D,2018,111.9,34.216021,-106.88637,,
13-Nov-18,11,orange,left,predorsal,1100,FRO,LLSMR,,captive spawn,0,35,Nine-mile Outfall,3,hard release,OLD 2018,O,L,D,2018,103.2,34.096843,-106.879232,,
13-Nov-18,11,orange,left,predorsal,1100,FRO,LLSMR,,captive spawn,0,35,North Boundary BDANWR,3,hard release,OLD 2018,O,L,D,2018,86.5,33.872501,-106.849041,,
14-Nov-18,11,yellow,left,predorsal,7000,FRO,Dexter,,captive spawn,0,,4 miles below SADD,3,hard release,YLD 2018,Y,L,D,2018,111.9,34.216021,-106.88637,,
14-Nov-18,11,yellow,left,predorsal,7000,FRO,Dexter,,captive spawn,0,,Nine-mile Outfall,3,hard release,YLD 2018,Y,L,D,2018,103.2,34.096843,-106.879232,,
14-Nov-18,11,yellow,left,predorsal,7000,FRO,Dexter,,captive spawn,0,,North Boundary BDANWR,3,hard release,YLD 2018,Y,L,D,2018,86.5,33.872501,-106.849041,,
14-Nov-18,11,yellow,left,predorsal,11000,FRO,Dexter,,captive spawn,0,,Los Chavez,2,hard release,YLD 2018,Y,L,D,2018,157,34.746837,-106.743132,,
14-Nov-18,11,yellow,left,predorsal,11000,FRO,Dexter,,captive spawn,0,,Jarales Bridge,2,hard release,YLD 2018,Y,L,D,2018,141.3,34.544047,-106.763675,,
14-Nov-18,11,yellow,left,predorsal,11000,FRO,Dexter,,captive spawn,0,,U.S. 60,2,hard release,YLD 2018,Y,L,D,2018,131.4,34.41817,-106.799453,,
15-Nov-18,11,white,left,predorsal,6000,FRO,Abq,,captive spawn,0,,3 miles below SADD,3,hard release,WLD 2018,W,L,D,2018,112.7,34.223267,-106.894409,,
15-Nov-18,11,white,left,predorsal,6000,FRO,Abq,,captive spawn,0,,Nine-mile Outfall,3,hard release,WLD 2018,W,L,D,2018,103.2,34.096843,-106.879232,,
15-Nov-18,11,white,left,predorsal,6000,FRO,Abq,,captive spawn,0,,North Boundary BDANWR,3,hard release,WLD 2018,W,L,D,2018,86.5,33.872501,-106.849041,,
16-Nov-18,11,white,left,predorsal,15000,FRO,Abq,,captive spawn,0,,Alameda Bridge,1,hard release,WLD 2018,W,L,D,2018,191.1,35.19357814,-106.6448151,,
16-Nov-18,11,white,left,predorsal,5000,FRO,Abq,,captive spawn,0,,Jarales Bridge,2,hard release,WLD 2018,W,L,D,2018,141.3,34.544047,-106.763675,,
16-Nov-18,11,white,left,predorsal,5000,FRO,Abq,,captive spawn,0,,Los Chavez,2,hard release,WLD 2018,W,L,D,2018,157,34.746837,-106.743132,,
16-Nov-18,11,white,left,predorsal,5000,FRO,Abq,,captive spawn,0,,U.S. 60,2,hard release,WLD 2018,W,L,D,2018,131.4,34.41817,-106.799453,,
13-Feb-19,2,yellow,right,predorsal,7300,FRO,Dexter,,captive spawn,0,,North Boundary BDANWR,3,hard release,YRD 2019,Y,R,D,2019,86.5,33.872501,-106.849041,,
13-Feb-19,2,yellow,right,predorsal,7300,FRO,Dexter,,captive spawn,1,,Nine-mile Outfall,3,hard release,YRD 2019,Y,R,D,2019,103.2,34.096843,-106.879232,,
13-Feb-19,2,yellow,right,predorsal,7300,FRO,Dexter,,captive spawn,1,,4 miles below SADD,3,hard release,YRD 2019,Y,R,D,2019,111.9,34.216021,-106.88637,,
14-Feb-19,2,white,right,predorsal,5700,FRO,Abq,,captive spawn,1,,North Boundary BDANWR,3,hard release,WRD 2019,W,R,D,2019,86.5,33.872501,-106.849041,,
14-Feb-19,2,white,right,predorsal,5700,FRO,Abq,,captive spawn,1,,Nine-mile Outfall,3,hard release,WRD 2019,W,R,D,2019,103.2,34.096843,-106.879232,,
14-Feb-19,2,white,right,predorsal,5700,FRO,Abq,,captive spawn,1,,4 miles below SADD,3,hard release,WRD 2019,W,R,D,2019,111.9,34.216021,-106.88637,,
15-Feb-19,2,orange,right,predorsal,945,FRO,LLSMR,,captive spawn,1,,North Boundary BDANWR,3,hard release,ORD 2019,O,R,D,2019,86.5,33.872501,-106.849041,,
15-Feb-19,2,orange,right,predorsal,949,FRO,LLSMR,,captive spawn,1,,Nine-mile Outfall,3,hard release,ORD 2019,O,R,D,2019,103.2,34.096843,-106.879232,,
15-Feb-19,2,orange,right,predorsal,945,FRO,LLSMR,,captive spawn,1,,4 miles below SADD,3,hard release,ORD 2019,O,R,D,2019,111.9,34.216021,-106.88637,,
20-Mar-19,3,blue,right,predorsal,393,FRO,Dexter,,Dexter,1,58,RM 111.9,3,hard release,BRD 2019,B,R,D,2019,111.9,34.216021,-106.88637,,
20-Mar-19,3,blue,right,predorsal,261,FRO,Dexter,,Dexter,1,58,RM 113.7,3,hard release,BRD 2019,B,R,D,2019,113.7,34.236263,-106.898519,,
20-Mar-19,3,blue,right,predorsal,323,FRO,Dexter,,Dexter,1,58,RM 115.5,3,hard release,BRD 2019,B,R,D,2019,115.5,34.25617,-106.890324,,
20-Mar-19,3,blue,right,predorsal,247,SWCA,Abq,,BioPark,5,,RM 111.9,3,hard release,BRD 2019,B,R,D,2019,111.9,34.216021,-106.88637,,
20-Mar-19,3,blue,right,predorsal,252,SWCA,Abq,,BioPark,5,,RM 113.7,3,hard release,BRD 2019,B,R,D,2019,113.7,34.236263,-106.898519,,
20-Mar-19,3,blue,right,predorsal,238,SWCA,Abq,,BioPark,5,,RM 115.5,3,hard release,BRD 2019,B,R,D,2019,115.5,34.25617,-106.890324,,
7-Oct-19,10,blue,right,predorsal,234,SWCA,Abq,,BioPark,5,,RM 115.5,3,Bag release,BRD 2019,B,R,D,2019,115.5,34.25617,-106.890324,14.4,
20-Nov-19,11,blue,right,predorsal,2424,FRO,Dexter,,Dexter,1,,RM 111.9,3,hard release,BRD 2019,B,R,D,2019,111.9,34.216021,-106.88637,,
20-Nov-19,11,blue,right,predorsal,2425,FRO,Dexter,,Dexter,1,,RM 113.7,3,hard release,BRD 2019,B,R,D,2019,113.7,34.236263,-106.898519,,
20-Nov-19,11,blue,right,predorsal,2430,FRO,Dexter,,Dexter,1,,RM 115.5,3,hard release,BRD 2019,B,R,D,2019,115.5,34.25617,-106.890324,,
20-Nov-19,11,blue,right,predorsal,2603,FRO,Dexter,,Dexter,1,,RM 119,2,hard release,BRD 2019,B,R,D,2019,119,34.275641,-106.854455,,
19-Nov-19,11,red,right,predorsal,6073,FRO,Dexter,,Dexter,0,45,RM 86.3,3,hard release,RRD 2019,R,R,D,2019,86.3,33.869733,-106.847961,,
19-Nov-19,11,red,right,predorsal,6154,FRO,Dexter,,Dexter,0,45,RM 103.2,3,hard release,RRD 2019,R,R,D,2019,103.2,34.096843,-106.879232,,
19-Nov-19,11,red,right,predorsal,6127,FRO,Dexter,,Dexter,0,45,RM 113.7,3,hard release,RRD 2019,R,R,D,2019,113.7,34.236263,-106.898519,,
21-Nov-19,11,red,right,predorsal,5000,FRO,Abq,,BioPark,0,35,RM 86.3,3,hard release,RRD 2019,R,R,D,2019,86.3,33.869733,-106.847961,,
21-Nov-19,11,red,right,predorsal,5000,FRO,Abq,,BioPark,0,35,RM 103.2,3,hard release,RRD 2019,R,R,D,2019,103.2,34.096843,-106.879232,,
21-Nov-19,11,red,right,predorsal,5000,FRO,Abq,,BioPark,0,35,RM 113.7,3,hard release,RRD 2019,R,R,D,2019,113.7,34.236263,-106.898519,,
22-Nov-19,11,pink,right,predorsal,2841,FRO,LLSMR,,LLSMR,0,38,RM 86.3,3,hard release,PRD 2019,P,R,D,2019,86.3,33.869733,-106.847961,,
22-Nov-19,11,pink,right,predorsal,2841,FRO,LLSMR,,LLSMR,0,38,RM 103.2,3,hard release,PRD 2019,P,R,D,2019,103.2,34.096843,-106.879232,,
22-Nov-19,11,pink,right,predorsal,2750,FRO,LLSMR,,LLSMR,0,38,RM 113.7,3,hard release,PRD 2019,P,R,D,2019,113.7,34.236263,-106.898519,,
12-Feb-20,2,pink,left,predorsal,2000,FRO,LLSMR,,LLSMR,0,38,RM 86.3,3,hard release,PLD 2020,P,L,D,2020,86.3,33.869733,-106.847961,2.9,
12-Feb-20,2,pink,left,predorsal,2000,FRO,LLSMR,,LLSMR,0,38,RM 103.2,3,hard release,PLD 2020,P,L,D,2020,103.2,34.096843,-106.879232,,
12-Feb-20,2,pink,left,predorsal,1700,FRO,LLSMR,,LLSMR,0,38,RM 113.7,3,hard release,PLD 2020,P,L,D,2020,113.7,34.236263,-106.898519,,
12-Feb-20,2,red,left,predorsal,5000,FRO,Abq,,BioPark,0,38,RM 86.3,3,hard release,RLD 2020,R,L,D,2020,86.3,33.869733,-106.847961,,
12-Feb-20,2,red,left,predorsal,5000,FRO,Abq,,BioPark,0,38,RM 103.2,3,hard release,RLD 2020,R,L,D,2020,103.2,34.096843,-106.879232,,
12-Feb-20,2,red,left,predorsal,5000,FRO,Abq,,BioPark,0,38,RM 113.7,3,hard release,RLD 2020,R,L,D,2020,113.7,34.236263,-106.898519,,
12-Feb-20,2,red,left,predorsal,6178,FRO,Dexter,,Dexter,0,38,RM 86.3,3,hard release,RLD 2020,R,L,D,2020,86.3,33.869733,-106.847961,,
12-Feb-20,2,red,left,predorsal,6021,FRO,Dexter,,Dexter,0,38,RM 103.2,3,hard release,RLD 2020,R,L,D,2020,103.2,34.096843,-106.879232,,
12-Feb-20,2,red,left,predorsal,6054,FRO,Dexter,,Dexter,0,38,RM 113.7,3,hard release,RLD 2020,R,L,D,2020,113.7,34.236263,-106.898519,,
23-Mar-20,3,blue,left,predorsal,1782,FRO,Dexter,,Dexter,2,60,RM 111.9,3,hard release,BLD 2020,B,L,D,2020,111.9,34.216021,-106.88637,,
23-Mar-20,3,blue,left,predorsal,2213,FRO,Dexter,,Dexter,2,60,RM 113.7,3,hard release,BLD 2020,B,L,D,2020,113.7,34.236263,-106.898519,,
23-Mar-20,3,blue,left,predorsal,2193,FRO,Dexter,,Dexter,2,60,RM 115.6,3,hard release,BLD 2020,B,L,D,2020,115.6,34.255859,-106.888848,,
23-Mar-20,3,blue,left,predorsal,1747,FRO,Dexter,,Dexter,2,60,RM 118.9,3,hard release,BLD 2020,B,L,D,2020,118.9,34.275162,-106.855906,,
