Date,Month,Color,Location,Side,Number,Agency,Origin,Lot Number,Source of fish,Age,TL (mm),Release,Reach,Notes,Mark,C,L,S,Year,RM_up,RM_down,,River temp,Truck temp,Comments
16-Nov-10,11,orange,right,predorsal,10000,FRO,Dexter,DX10CS,Pond 8B,0,52,8 mi below San Marcial,1,soft release ,ORD 2010,O,R,D,2010,58.5,58.5,,,,
11-Mar-11,3,green,right,predorsal,3756,FRO,Dexter,DX09CS,Pond 24D,2,80,1.5 mi below SADD,1,"soft release, remaining fish from PIT tagging",GRD 2011,G,R,D,2011,114.2,114.2,,,,
14-Nov-11,11,red,right,predorsal,3000,FRO,LLSMR,DX11CS-04,Pond 20,0,40,Neil Cupp,1,soft release,RRD 2011,R,R,D,2011,92.2,92.2,,,,
14-Nov-11,11,red,right,predorsal,9000,FRO,Abq,"ABP11-001,002,003,004",mixed group (see lot# info),0,40,Neil Cupp,1,soft release,RRD 2011,R,R,D,2011,92.2,92.2,,,,
14-Nov-11,11,red,right,predorsal,43000,FRO,Abq,"ABP11-001,002,003,004",mixed group (see lot# info),0,40,1.5 mi below SADD,1,soft release,RRD 2011,R,R,D,2011,114.2,114.2,,,,
16-Nov-11,11,red,right,predorsal,20919,FRO,Dexter,DX11CS,,0,55,San Antonio,1,soft release at north boundary BDANWR,RRD 2011,R,R,D,2011,89.7,89.7,,,,
16-Nov-11,11,red,right,predorsal,10000,FRO,Dexter,DX11CS,,0,55,SADD,1,soft release,RRD 2011,R,R,D,2011,115.6,115.6,,,,
16-Nov-11,11,red,right,predorsal,15047,FRO,Dexter,DX11CS,,0,55,Socorro,1,soft release,RRD 2011,R,R,D,2011,101.6,101.6,,,,
16-Nov-11,11,red,right,predorsal,23213,FRO,Dexter,DX11CS,,0,55,Mid-BDANWR,1,soft release,RRD 2011,R,R,D,2011,80.4,80.4,,,,
16-Nov-11,11,red,right,predorsal,19341,FRO,Dexter,DX11CS,,0,55,10 miles below SMRRXG,1,soft release,RRD 2011,R,R,D,2011,56.3,56.3,,,,
16-Nov-11,11,yellow,right,predorsal,10000,FRO,Dexter,DX11CS,,0,60,Bernardo,1,soft release,YRD 2011,Y,R,D,2011,131.1,131.1,,,,
16-Nov-11,11,yellow,right,predorsal,26000,FRO,Dexter,DX11CS,,0,60,La Joya,1,soft release,YRD 2011,Y,R,D,2011,131.1,131.1,,,,
16-Nov-11,11,yellow,right,predorsal,11318,FRO,Dexter,DX11CS,,0,60,Above SADD,1,soft release,YRD 2011,Y,R,D,2011,117.8,117.8,,,,
3-Nov-12,11,pink ,left,predorsal,30270,FRO,Dexter,DX12CS,,0,55,Los Lunas,1,hard release,PLD 2012,P,L,D,2012,161.5,161.5,,,,
3-Nov-12,11,pink ,left,predorsal,31000,FRO,Dexter,DX12CS,,0,55,Jarales Bridge,1,soft release,PLD 2012,P,L,D,2012,141.3,141.3,,,,
3-Nov-12,11,yellow,left,predorsal,8000,FRO,Dexter,DX12CS,,0,58,SADD,1,soft release,YLD 2012,Y,L,D,2012,115.6,115.6,,,,
3-Nov-12,11,yellow,left,predorsal,34000,FRO,Dexter,DX12CS,,0,58,1.5 mi below SADD,1,hard release,YLD 2012,Y,L,D,2012,114.2,114.2,,,,
5-Nov-12,11,pink,left,predorsal,1046,FRO,LLSMR,LLSMR-2012,,0,60,Los Lunas,1,hard release,PLD 2012,P,L,D,2012,161.5,161.5,,,,
6-Nov-12,11,pink,left,predorsal,21000,FRO,Dexter,DX12CS,,0,55,Belen,1,hard release,PLD 2012,P,L,D,2012,149.9,149.9,,,,
6-Nov-12,11,pink ,left,predorsal,10000,FRO,Dexter,DX12CS,,0,55,Bernardo,1,hard release,PLD 2012,P,L,D,2012,131.1,131.1,,,,
6-Nov-12,11,pink ,left,predorsal,10000,FRO,Dexter,DX12CS,,0,55,Above SADD,1,hard release,PLD 2012,P,L,D,2012,117.8,117.8,,,,
7-Nov-12,11,pink,left,predorsal,27241,Abq,Abq,"ABP08-008,009,012,013/ABP09-004 (wild caught as eggs),ABP12-008 (captive spawn),ABP12-009(captive spawn),ABP10-002,006,008,009 (wild caught),ABP12-001 (captive spawn)",mixed group (see lot# info),0,,La Joya,1,hard release,PLD 2012,P,L,D,2012,131.1,131.1,,,,
7-Nov-12,11,yellow,left,predorsal,14000,FRO,Dexter,DX12CS,,0,55,San Marcial,1,hard release,YLD 2012,Y,L,D,2012,67.5,67.5,,,,
7-Nov-12,11,yellow,left,predorsal,8000,FRO,Dexter,DX12CS,,0,55,8 mi below San Marcial,1,hard release,YLD 2012,Y,L,D,2012,58.5,58.5,,,,
7-Nov-12,11,yellow,left,predorsal,12000,FRO,Dexter,DX12CS,,0,55,10 miles below SMRRXG,1,hard release,YLD 2012,Y,L,D,2012,56.3,56.3,,,,
7-Nov-12,11,yellow,left,predorsal,18000,FRO,Dexter,DX12CS,,0,48,North Boundary BDANWR,1,hard release,YLD 2012,Y,L,D,2012,86.5,86.5,,,,
7-Nov-12,11,yellow,left,predorsal,10000,FRO,Dexter,DX12CS,,0,55,Neil Cupp,1,hard release,YLD 2012,Y,L,D,2012,92.2,92.2,,,,
16-Nov-12,11,yellow,left,predorsal,17000,FRO,Dexter,DX12CS,,0,40,Socorro,1,hard release,YLD 2012,Y,L,D,2012,101.6,101.6,,,,
16-Nov-12,11,yellow,left,predorsal,23000,FRO,Dexter,DX12CS,,0,54,Mid-BDANWR,1,hard release,YLD 2012,Y,L,D,2012,80.4,80.4,,,,
27-Mar-13,3,green/red,right,predorsal,142,FRO,LLSMR,,LLSMR,0,,North Boundary BDANWR,1,"hard release, green marked over pink, christmas color, brood stock",RGRD 2013,G,R,D,2013,86.5,86.5,,,,
11-Oct-13,10,pink ,right,predorsal,40000,FRO,Dexter,DX13CS,,0,55,Alameda Bridge,1,hard release,PRD 2013,P,R,D,2013,191.1,191.1,,,,
11-Oct-13,10,pink ,right,predorsal,41350,FRO,Dexter,DX13CS,,0,55,Bridge Street,1,hard release,PRD 2013,P,R,D,2013,181,181,,,,
1-Nov-13,11,pink ,right,predorsal,12500,FRO,Dexter,DX13CS,,0,55,Sandia Pueblo,1,hard release,PRD 2013,P,R,D,2013,197.8,197.8,,,,
13-Nov-13,11,pink ,right,predorsal,30000,FRO,Dexter,DX13CS,,0,55,Santa Ana Pueblo,1,hard release,PRD 2013,P,R,D,2013,207.3,207.3,,,,
13-Nov-13,11,pink ,right,predorsal,20000,FRO,Dexter,DX13CS,,0,60,Los Lunas,1,hard release,PRD 2013,P,R,D,2013,161.5,161.5,,,,
13-Nov-13,11,green,right,predorsal,77,FRO,LLSMR,,LLSMR,0,73,Los Lunas,1,hard release,GRD 2013,G,R,D,2013,161.5,161.5,,,,
13-Nov-13,11,pink,right,predorsal,20000,FRO,Dexter,DX13CS,,0,60,Peralta Wasteway Outfall,1,hard release,PRD 2013,P,R,D,2013,152.7,152.7,,,,
13-Nov-13,11,pink,right,predorsal,20000,FRO,Dexter,DX13CS,,0,60,Sabinal Drain Outfall,1,hard release,PRD 2013,P,R,D,2013,138.3,138.3,,,,
13-Nov-13,11,pink,right,predorsal,5000,FRO,Dexter,DX13CS,,0,60,Bernardo,1,hard release,PRD 2013,P,R,D,2013,131.1,131.1,,,,
13-Nov-13,11,pink,right,predorsal,9000,FRO,Dexter,DX13CS,,0,60,Rio Puerco Confluence,1,hard release,PRD 2013,P,R,D,2013,127.9,127.9,,,,
20-Nov-13,11,pink,right,predorsal,15000,FRO,Dexter,DX13CS,,0,55,Jarales Bridge,1,hard release,PRD 2013,P,R,D,2013,141.3,141.3,,,,
20-Nov-13,11,pink,right,predorsal,15000,FRO,Dexter,DX13CS,,0,55,SADD,1,hard release,PRD 2013,P,R,D,2013,115.6,115.6,,,,
20-Nov-13,11,pink,right,predorsal,15000,FRO,Dexter,DX13CS,,0,55,Socorro,1,hard release,PRD 2013,P,R,D,2013,101.6,101.6,,,,
25-Nov-13,11,pink,right,predorsal,12500,FRO,Dexter,DX13CS,,0,60,Brown's Arroyo,1,hard release,PRD 2013,P,R,D,2013,95.7,95.7,,,,
25-Nov-13,11,pink,right,predorsal,12500,FRO,Dexter,DX13CS,,0,60,North Boundary BDANWR,1,hard release,PRD 2013,P,R,D,2013,86.5,86.5,,,,
25-Nov-13,11,pink,right,predorsal,12500,FRO,Dexter,DX13CS,,0,60,Mid-BDANWR,1,hard release,PRD 2013,P,R,D,2013,80.4,80.4,,,,
25-Nov-13,11,pink,right,predorsal,12500,FRO,Dexter,DX13CS,,0,60,San Marcial,1,hard release,PRD 2013,P,R,D,2013,67.5,67.5,,,,
9-Oct-14,10,yellow,left,predorsal,40325,FRO,Dexter,DX14CS,,0,55,Santa Ana Pueblo,1,hard release,YLD 2014,Y,L,D,2014,207.3,207.3,,,,
9-Oct-14,10,yellow,left,predorsal,40325,FRO,Dexter,DX14CS,,0,55,Sandia Pueblo,1,hard release,YLD 2014,Y,L,D,2014,197.8,197.8,,,,
9-Oct-14,10,green,left,predorsal,4305,FRO,LLSMR,DX14CS,captive spawn,0,,Alameda Bridge,1,"hard release, 100 used in cage survival study",GLD 2014,G,L,D,2014,191.1,191.1,,,,
9-Oct-14,10,white,left,predorsal,1222,FRO,Abq,ABP14-004,captive spawn,0,,Alameda Bridge,1,"hard release, 100 used in cage survival study",WLD 2014,W,L,D,2014,191.1,191.1,,,,
10-Nov-14,11,green,left,predorsal,5513,FRO,LLSMR,DX14CS,captive spawn,0,,Los Lunas,1,hard release,GLD 2014,G,L,D,2014,161.5,161.5,,,,
10-Nov-14,11,white,left,predorsal,24245,FRO,Abq,ABP14-004,captive spawn,0,,Jarales Bridge,1,hard release,WLD 2014,W,L,D,2014,141.3,141.3,,,,
10-Nov-14,11,yellow,left,predorsal,22000,FRO,Dexter,DX14CS,captive spawn,0,56,Sabinal Drain Outfall,1,hard release,YLD 2014,Y,L,D,2014,138.3,138.3,,,,
10-Nov-14,11,yellow,left,predorsal,21356,FRO,Dexter,DX14CS,captive spawn,0,56,Peralta Wasteway Outfall,1,hard release,YLD 2014,Y,L,D,2014,152.7,152.7,,,,
10-Nov-14,11,yellow,left,predorsal,15000,FRO,Dexter,DX14CS,captive spawn,0,56,Escondida,1,hard release,YLD 2014,Y,L,D,2014,104.8,104.8,,,,
10-Nov-14,11,yellow,left,predorsal,15000,FRO,Dexter,DX14CS,captive spawn,0,56,Socorro,1,hard release,YLD 2014,Y,L,D,2014,101.6,101.6,,,,
10-Nov-14,11,yellow,left,predorsal,15000,FRO,Dexter,DX14CS,captive spawn,0,56,Brown's Arroyo,1,hard release,YLD 2014,Y,L,D,2014,95.7,95.7,,,,
10-Nov-14,11,yellow,left,predorsal,16797,FRO,Dexter,DX14CS,captive spawn,0,56,North Boundary BDANWR,1,hard release,YLD 2014,Y,L,D,2014,86.5,86.5,,,,
10-Nov-14,11,yellow,left,predorsal,15000,FRO,Dexter,DX14CS,captive spawn,0,56,San Marcial,1,hard release,YLD 2014,Y,L,D,2014,67.5,67.5,,,,
24-Nov-14,11,yellow,left,predorsal,5000,FRO,Dexter,DX14CS,captive spawn,0,56,Sabinal Drain Outfall,1,hard release,YLD 2014,Y,L,D,2014,138.3,138.3,,,,
24-Nov-14,11,yellow,left,predorsal,27230,FRO,Dexter,DX14CS,captive spawn,0,56,RGSM Sanctuary,1,hard release,YLD 2014,Y,L,D,2014,179.7,179.7,,,,
19-Oct-15,10,orange,right,predorsal,15000,FRO,Dexter,DX15CS,captive spawn,0,,Santa Ana Pueblo,1,hard release,ORD 2015,O,R,D,2015,207.3,207.3,,,,
19-Oct-15,10,orange,right,predorsal,15000,FRO,Dexter,DX15CS,captive spawn,0,,Sandia Pueblo,1,hard release,ORD 2015,O,R,D,2015,197.8,197.8,,,,
19-Oct-15,10,orange,right,predorsal,15000,FRO,Dexter,DX15CS,captive spawn,0,,Alameda Bridge,1,hard release,ORD 2015,O,R,D,2015,191.1,191.1,,,,
19-Oct-15,10,orange,right,predorsal,14357,FRO,Dexter,DX15CS,captive spawn,0,,RGSM Sanctuary,1,hard release,ORD 2015,O,R,D,2015,179.7,179.7,,,,
13-Nov-15,11,yellow,right,predorsal,8760,FRO,LLSMR,DX15CS,captive spawn,0,,Los Lunas,1,hard release,YRD 2015,Y,R,D,2015,161.5,161.5,,,,
13-Nov-15,11,white,right,predorsal,21311,FRO,Abq,ABP15-001,captive spawn,0,,Bernardo,1,hard release,WRD 2015,W,R,D,2015,131.1,131.1,,,,
13-Nov-15,11,white,right,predorsal,2321,FRO,Abq,ABP12-004,captive spawn,0,,Sabinal Drain Outfall,1,hard release,WRD 2015,W,R,D,2015,138.3,138.3,,,,
13-Nov-15,11,white,right,predorsal,58,FRO,Abq,ABP14-003,captive spawn,0,,Sabinal Drain Outfall,1,hard release,WRD 2015,W,R,D,2015,138.3,138.3,,,,
13-Nov-15,11,white,right,predorsal,18621,FRO,Abq,ABP15-001,captive spawn,0,,Sabinal Drain Outfall,1,hard release,WRD 2015,W,R,D,2015,138.3,138.3,,,,
19-Nov-15,11,white,right,predorsal,22614,FRO,Abq,ABP15-001,captive spawn,0,,Escondida,1,hard release,WRD 2015,W,R,D,2015,104.8,104.8,,,,
20-Nov-15,11,white,right,predorsal,24529,FRO,Abq,ABP15-001,captive spawn,0,,1.5 mi below SADD,1,hard release,WRD 2015,W,R,D,2015,114.2,114.2,,,,
23-Nov-15,11,white,right,predorsal,4762,FRO,Abq,ABP15-001,captive spawn,0,,Escondida,1,hard release,WRD 2015,W,R,D,2015,104.8,104.8,,,,
23-Nov-15,11,orange,right,predorsal,19000,FRO,Dexter,DX15CS,captive spawn,0,62,North Boundary BDANWR,1,hard release,ORD 2015,O,R,D,2015,86.5,86.5,,,,
23-Nov-15,11,orange,right,predorsal,19216,FRO,Dexter,DX15CS,captive spawn,0,62,San Marcial,1,hard release,ORD 2015,O,R,D,2015,67.5,67.5,,,,
25-Apr-16,4,red,left,predorsal,3122,FRO,Dexter,WCDX-11/12,Wild caught ,3,,Alameda Bridge,1,hard release,RLD 2016,R,L,D,2016,191.1,191.1,Brood stock,,,
24-Oct-16,10,pink,left,predorsal,10880,FRO,Dexter,16SCDX,captive spawn,0,60,Santa Ana Pueblo,1,hard release,PLD 2016,P,L,D,2016,207.3,207.3,,,,
24-Oct-16,10,green,left,predorsal,10000,FRO,Abq,ABP16-003,captive spawn,0,,Santa Ana Pueblo,1,hard release,GLD 2016,G,L,D,2016,207.3,207.3,,,,
15-Nov-16,11,green,left,predorsal,1511,FRO,abq,ABP16-003/004,captive spawn,0,,South Boundary BdA,1,hard release,GLD 2016,G,L,D,2016,74,74,,,,
15-Nov-16,11,green,left,predorsal,29489,FRO,Abq,ABP16-003,captive spawn,0,,South Boundary BdA,1,hard release,GLD 2016,G,L,D,2016,74,74,,,,
17-Nov-16,11,green,left,predorsal,2000,FRO,Abq,ABP16-003,captive spawn,0,,Jarales Bridge,1,hard release,GLD 2016,G,L,D,2016,141.3,141.3,,,,
29-Nov-16,11,green,left,predorsal,12000,FRO,Abq,ABP16-003,captive spawn,0,,San Marcial,1,hard release,GLD 2016,G,L,D,2016,67.5,67.5,,,,
14-Nov-17,11,green,right,predorsal,16000,FRO,Dexter,17CSDX,captive spawn,0,60,Nine-mile Outfall,1,hard release,GRD 2017,G,R,D,2017,103.2,103.2,,11.6,18,
14-Nov-17,11,green,right,predorsal,16000,FRO,Dexter,17CSDX,captive spawn,0,60,North Boundary BDANWR,1,hard release,GRD 2017,G,R,D,2017,86.5,86.5,,11.6,18,
14-Nov-17,11,green ,right,predorsal,16366,FRO,Dexter,17CSDX,captive spawn,0,60,1.5 mi below SADD,1,hard release,GRD 2017,G,R,D,2017,114.2,114.2,,11.6,18,
14-Nov-17,11,red,right,predorsal,4000,FRO,Abq,ABP17-001/002/003,captive spawn,0,60,Nine-mile Outfall,1,hard release,RRD 2017,R,R,D,2017,103.2,103.2,,12,8,
14-Nov-17,11,red,right,predorsal,4000,FRO,Abq,ABP17-001/002/003,captive spawn,0,60,North Boundary BDANWR,1,hard release,RRD 2017,R,R,D,2017,86.5,86.5,,12,8,
14-Nov-17,11,red,right,predorsal,4000,FRO,Abq,ABP17-001/002/003,captive spawn,0,60,1.5 mi below SADD,1,hard release,RRD 2017,R,R,D,2017,114.2,114.2,,12,11,
15-Feb-18,2,green,left,predorsal,5000,FRO,Dexter,17CSDX,captive spawn,0,55,Nine-mile Outfall,1,hard release,GLD 2018,G,L,D,2018,103.2,103.2,,,,
15-Feb-18,2,green,left,predorsal,4500,FRO,Dexter,17CSDX,captive spawn,0,55,North Boundary BDANWR,1,hard release,GLD 2018,G,L,D,2018,86.5,86.5,,,,
15-Feb-18,2,green,left,predorsal,5000,FRO,Dexter,17CSDX,captive spawn,0,55,1.5 mi below SADD,1,hard release,GLD 2018,G,L,D,2018,114.2,114.2,,,,
15-Feb-18,2,red,left,predorsal,6000,FRO,Abq,ABP17-001/002/003,captive spawn,0,,Nine-mile Outfall,1,hard release,RLD 2018,R,L,D,2018,103.2,103.2,,,,
15-Feb-18,2,red,left,predorsal,6000,FRO,Abq,ABP17-001/002/003,captive spawn,0,,North Boundary BDANWR,1,hard release,RLD 2018,R,L,D,2018,86.5,86.5,,,,
15-Feb-18,2,red,left,predorsal,6000,FRO,Abq,ABP17-001/002/003,captive spawn,0,,1.5 mi below SADD,1,hard release,RLD 2018,R,L,D,2018,114.2,114.2,,,,
9-May-18,5,blue,right,predorsal,200,SWCA,Abq,,broodstock,4,,SADD,1,,BRD 2018,B,R,D,2018,115.6,115.6,,,,experimental PIT tagged fish
2-Jul-18,7,blue,right and left,predorsal,100,SWCA,Abq,,broodstock,4,,SADD,1,,BRD 2018,B,R,D,2018,115.6,115.6,,,,experimental PIT tagged fish
2-Jul-18,7,blue,right and left,predorsal,460,SWCA,Abq,,broodstock,4,,SADD,1,,BRD 2018,B,R,D,2018,115.6,115.6,,,,experimental PIT tagged fish
22-Oct-18,10,yellow,left,predorsal,20000,FRO,Dexter,,captive spawn,0,45,Santa Ana Pueblo,1,hard release,YLD 2018,Y,L,D,2018,207.3,207.3,,,,
22-Oct-18,10,yellow,left,predorsal,20000,FRO,Dexter,,captive spawn,0,45,Sandia Pueblo,1,hard release,YLD 2018,Y,L,D,2018,197.8,197.8,,,,
22-Oct-18,10,yellow,left,predorsal,20000,FRO,Dexter,,captive spawn,0,45,Alameda Bridge,1,hard release,YLD 2018,Y,L,D,2018,191.1,191.1,,,,
13-Nov-18,11,orange,left,predorsal,1100,FRO,LLSMR,,captive spawn,0,35,4 miles below SADD,1,hard release,OLD 2018,O,L,D,2018,111.9,111.9,,,,
13-Nov-18,11,orange,left,predorsal,1100,FRO,LLSMR,,captive spawn,0,35,Nine-mile Outfall,1,hard release,OLD 2018,O,L,D,2018,103.2,103.2,,,,
13-Nov-18,11,orange,left,predorsal,1100,FRO,LLSMR,,captive spawn,0,35,North Boundary BDANWR,1,hard release,OLD 2018,O,L,D,2018,86.5,86.5,,,,
14-Nov-18,11,yellow,left,predorsal,7000,FRO,Dexter,,captive spawn,0,,4 miles below SADD,1,hard release,YLD 2018,Y,L,D,2018,111.9,111.9,,,,
14-Nov-18,11,yellow,left,predorsal,7000,FRO,Dexter,,captive spawn,0,,Nine-mile Outfall,1,hard release,YLD 2018,Y,L,D,2018,103.2,103.2,,,,
14-Nov-18,11,yellow,left,predorsal,7000,FRO,Dexter,,captive spawn,0,,North Boundary BDANWR,1,hard release,YLD 2018,Y,L,D,2018,86.5,86.5,,,,
14-Nov-18,11,yellow,left,predorsal,11000,FRO,Dexter,,captive spawn,0,,Los Chavez,1,hard release,YLD 2018,Y,L,D,2018,157,157,,,,
14-Nov-18,11,yellow,left,predorsal,11000,FRO,Dexter,,captive spawn,0,,Jarales Bridge,1,hard release,YLD 2018,Y,L,D,2018,141.3,141.3,,,,
14-Nov-18,11,yellow,left,predorsal,11000,FRO,Dexter,,captive spawn,0,,U.S. 60,1,hard release,YLD 2018,Y,L,D,2018,131.4,131.4,,,,
15-Nov-18,11,white,left,predorsal,6000,FRO,Abq,,captive spawn,0,,3 miles below SADD,1,hard release,WLD 2018,W,L,D,2018,112.6,112.6,,,,
15-Nov-18,11,white,left,predorsal,6000,FRO,Abq,,captive spawn,0,,Nine-mile Outfall,1,hard release,WLD 2018,W,L,D,2018,103.2,103.2,,,,
15-Nov-18,11,white,left,predorsal,6000,FRO,Abq,,captive spawn,0,,North Boundary BDANWR,1,hard release,WLD 2018,W,L,D,2018,86.5,86.5,,,,
16-Nov-18,11,white,left,predorsal,15000,FRO,Abq,,captive spawn,0,,Alameda Bridge,1,hard release,WLD 2018,W,L,D,2018,191.1,191.1,,,,
16-Nov-18,11,white,left,predorsal,5000,FRO,Abq,,captive spawn,0,,Jarales Bridge,1,hard release,WLD 2018,W,L,D,2018,141.3,141.3,,,,
16-Nov-18,11,white,left,predorsal,5000,FRO,Abq,,captive spawn,0,,Los Chavez,1,hard release,WLD 2018,W,L,D,2018,157,157,,,,
16-Nov-18,11,white,left,predorsal,5000,FRO,Abq,,captive spawn,0,,U.S. 60,1,hard release,WLD 2018,W,L,D,2018,131.4,131.4,,,,
13-Feb-19,2,yellow,right,predorsal,7300,FRO,Dexter,,captive spawn,0,,North Boundary BDANWR,1,hard release,YRD 2019,Y,R,D,2019,86.5,86.5,,,,
13-Feb-19,2,yellow,right,predorsal,7300,FRO,Dexter,,captive spawn,0,,Nine-mile Outfall,1,hard release,YRD 2019,Y,R,D,2019,103.2,103.2,,,,
13-Feb-19,2,yellow,right,predorsal,7300,FRO,Dexter,,captive spawn,,,4 miles below SADD,1,hard release,YRD 2019,Y,R,D,2019,111.9,111.9,,,,
14-Feb-19,2,white,right,predorsal,5700,FRO,Abq,,captive spawn,,,North Boundary BDANWR,1,hard release,WRD 2019,W,R,D,2019,86.5,86.5,,,,
14-Feb-19,2,white,right,predorsal,5700,FRO,Abq,,captive spawn,,,Nine-mile Outfall,1,hard release,WRD 2019,W,R,D,2019,103.2,103.2,,,,
14-Feb-19,2,white,right,predorsal,5700,FRO,Abq,,captive spawn,,,4 miles below SADD,1,hard release,WRD 2019,W,R,D,2019,111.9,111.9,,,,
15-Feb-19,2,orange,right,predorsal,945,FRO,LLSMR,,captive spawn,,,North Boundary BDANWR,1,hard release,ORD 2019,O,R,D,2019,86.5,86.5,,,,
15-Feb-19,2,orange,right,predorsal,949,FRO,LLSMR,,captive spawn,,,Nine-mile Outfall,1,hard release,ORD 2019,O,R,D,2019,103.2,103.2,,,,
15-Feb-19,2,orange,right,predorsal,945,FRO,LLSMR,,captive spawn,,,4 miles below SADD,1,hard release,ORD 2019,O,R,D,2019,111.9,111.9,,,,
20-Mar-19,3,blue,right,predorsal,393,FRO,Dexter,,Dexter,1,58,RM 111.9,1,hard release,BRD 2019,B,R,D,2019,111.9,111.9,Dexter,,,
20-Mar-19,3,blue,right,predorsal,261,FRO,Dexter,,Dexter,1,58,RM 113.7,1,hard release,BRD 2019,B,R,D,2019,113.7,113.7,Dexter,,,
20-Mar-19,3,blue,right,predorsal,323,FRO,Dexter,,Dexter,1,58,RM 115.5,1,hard release,BRD 2019,B,R,D,2019,115.5,115.5,Dexter,,,
20-Mar-19,3,blue,right,predorsal,247,SWCA,Abq,,BioPark,5,,RM 111.9,1,hard release,BRD 2019,B,R,D,2019,111.9,111.9,,,,
20-Mar-19,3,blue,right,predorsal,252,SWCA,Abq,,BioPark,5,,RM 113.7,1,hard release,BRD 2019,B,R,D,2019,113.7,113.7,,,,
20-Mar-19,3,blue,right,predorsal,238,SWCA,Abq,,BioPark,5,,RM 115.5,1,hard release,BRD 2019,B,R,D,2019,115.5,115.5,,,,
