Tab,X,low,high,CI,mean
1,3/2/2020,0.005,0.05,90,0.0275
1,3/12/2020,0.1,0.2,90,0.15
1,3/22/2020,0.2,0.4,80,0.3
1,4/1/2020,0.5,0.7,80,0.6
1,4/11/2020,0.8,0.9,80,0.85
1,4/21/2020,1.1,1.5,90,1.3
1,5/1/2020,1,1,NA,1
1,5/11/2020,1.6,2.75,90,2.175
1,5/21/2020,2,5,95,3.5
1,5/31/2020,1.5,2.7,90,2.1
1,6/10/2020,1.3,1.7,80,1.5
1,6/20/2020,1.1,1.2,80,1.15
1,6/30/2020,1.005,1.1,75,1.0525
2,NA,10,1710,90,670
3a,5,0.5,2,65,1.25
3a,50,2,5,90,3.5
3a,100,1.5,3,85,2.25
3a,150,1,1.00001,80,1.000005
3a,200,1,1.00001,90,1.000005
3a,250,1,1.00001,90,1.000005
3a,500,1,1,NA,1
3a,1000,1,1.00001,90,1.000005
3a,1500,1.0001,1.0005,90,1.0003
3a,2000,1.0001,1.0005,90,1.0003
3a,2500,1.005,1.05,90,1.0275
3a,3000,1.05,1.1,90,1.075
3a,4000,1.2,2,90,1.6
3a,5000,1.3,2,80,1.65
3a,6000,1.2,1.5,75,1.35
3a,7000,1,1.05,65,1.025
3b,5,0.5,2,65,1.25
3b,50,2,5,90,3.5
3b,100,1.5,3,85,2.25
3b,150,1,1.00001,80,1.000005
3b,200,1,1.00001,90,1.000005
3b,250,1,1.00001,90,1.000005
3b,500,1,1,NA,1
3b,1000,1,1.00001,90,1.000005
3b,1500,1.0001,1.05,90,1.02505
3b,2000,1.05,1.1,90,1.075
3b,2500,1.05,1.5,90,1.275
3b,3000,1.1,2,90,1.55
3b,4000,1.4,2.5,90,1.95
3b,5000,1.3,2,80,1.65
3b,6000,1.2,1.5,75,1.35
3b,7000,1,1.05,65,1.025
3c,5,0.5,2,65,1.25
3c,50,2,5,90,3.5
3c,100,1.5,3,85,2.25
3c,150,1,1.00001,80,1.000005
3c,200,1,1.00001,90,1.000005
3c,250,1,1.00001,90,1.000005
3c,500,1,1,NA,1
3c,1000,1,1.00001,90,1.000005
3c,1500,1.0001,1.05,90,1.02505
3c,2000,1.01,1.1,90,1.055
3c,2500,1.05,1.15,90,1.1
3c,3000,1.1,1.5,90,1.3
3c,4000,1.3,2.2,90,1.75
3c,5000,1.2,1.7,80,1.45
3c,6000,1.05,1.5,75,1.275
3c,7000,1,1.05,65,1.025
3d,5,0.5,2,65,1.25
3d,50,2,5,90,3.5
3d,100,1.5,3,85,2.25
3d,150,1,1.00001,80,1.000005
3d,200,1,1.00001,90,1.000005
3d,250,1,1.00001,90,1.000005
3d,500,1,1,NA,1
3d,1000,1,1.00001,90,1.000005
3d,1500,1.03,1.3,90,1.165
3d,2000,1.05,1.7,90,1.375
3d,2500,1.2,2.5,90,1.85
3d,3000,1.4,2.7,90,2.05
3d,4000,1.3,2.3,90,1.8
3d,5000,1.2,1.9,80,1.55
3d,6000,1.1,1.3,75,1.2
3d,7000,1,1.2,65,1.1
3e,5,0.8,1.1,65,0.95
3e,50,1.5,5,90,3.25
3e,100,1.5,3,85,2.25
3e,150,1,1.00001,80,1.000005
3e,200,1,1.00001,90,1.000005
3e,250,1,1.00001,90,1.000005
3e,500,1,1,NA,1
3e,1000,1.01,1.05,90,1.03
3e,1500,1.05,1.07,90,1.06
3e,2000,1.1,1.4,90,1.25
3e,2500,1.3,2.5,90,1.9
3e,3000,1.1,2.3,90,1.7
3e,4000,1.1,2,90,1.55
3e,5000,1.05,1.5,80,1.275
3e,6000,1,1.2,75,1.1
3e,7000,1,1.1,65,1.05
3f,5,0.9,1.1,65,1
3f,50,1.5,5,90,3.25
3f,100,1.5,3.5,85,2.5
3f,150,1.3,1.5,80,1.4
3f,200,1,1.00001,90,1.000005
3f,250,1,1.00001,90,1.000005
3f,500,1,1,NA,1
3f,1000,1.005,1.1,90,1.0525
3f,1500,1.1,1.3,90,1.2
3f,2000,1.2,2.3,90,1.75
3f,2500,1.5,3.3,90,2.4
3f,3000,1.3,2.9,90,2.1
3f,4000,1.1,1.8,90,1.45
3f,5000,1.1,1.6,80,1.35
3f,6000,1.05,1.4,75,1.225
3f,7000,1.005,1.15,65,1.0775
4,NA,21,50,90,28
5a,NA,0.01,0.5,50,0.15
5b,15-Mar,0.10,0.60,50,0.35
5b,1-Apr,0.10,0.40,50,0.25
5b,15-Apr,0.05,0.30,60,0.18
5b,1-May,0.01,0.20,60,0.11
5b,15-May,0.01,0.13,60,0.07
5b,1-Jun,0.01,0.09,70,0.05
5b,15-Jun,0.01,0.07,75,0.04
5b,1-Jul,0.01,0.03,80,0.02
6a - river width,5,1,15,70,10
6a - river width,50,10,20,90,20
6a - river width,100,33,40,90,40
6a - river width,150,99,105,90,100
6a - river width,200,105,115,90,110
6a - river width,250,110,116,90,115
6a - river width,500,115,120,90,117
6a - river width,1000,116,120,90,118
6a - percent pool,5,0.01,0.2,70,0.105
6a - percent pool,50,0.1,0.8,90,0.45
6a - percent pool,100,0.01,0.5,90,0.255
6a - percent pool,150,0.005,0.1,90,0.0525
6a - percent pool,200,0.0005,0.05,90,0.02525
6a - percent pool,250,0.0005,0.03,90,0.01525
6a - percent pool,500,0.0005,0.01,90,0.00525
6a - percent pool,1000,0.0005,0.015,90,0.00775
6b - river width,5,1,10,70,10
6b - river width,50,15,70,90,30
6b - river width,100,20,80,90,60
6b - river width,150,30,80,90,60
6b - river width,200,40,80,90,60
6b - river width,250,50,80,90,65
6b - river width,500,50,80,90,70
6b - river width,1000,50,80,90,73
6b - percent pool,5,0.2,0.3,70,0.25
6b - percent pool,50,0.3,0.5,90,0.4
6b - percent pool,100,0.1,0.3,90,0.2
6b - percent pool,150,0.005,0.1,90,0.05
6b - percent pool,200,0.003,0.05,90,0.0265
6b - percent pool,250,0.003,0.01,90,0.0065
6b - percent pool,500,0.01,0.011,90,0.0105
6b - percent pool,1000,0.01,0.011,90,0.0105
6c - river width,5,1,7,70,5
6c - river width,50,15,20,90,20
6c - river width,100,30,60,90,40
6c - river width,150,30,60,90,45
6c - river width,200,40,61,90,50
6c - river width,250,50,63,90,55
6c - river width,500,60,65,90,60
6c - river width,1000,60,80,90,65
6c - percent pool,5,0.01,0.2,70,0.105
6c - percent pool,50,0.1,0.6,90,0.35
6c - percent pool,100,0.01,0.3,90,0.155
6c - percent pool,150,0.005,0.05,90,0.0275
6c - percent pool,200,0.0005,0.006,90,0.00325
6c - percent pool,250,0.0005,0.003,90,0.00175
6c - percent pool,500,0.0005,0.005,90,0.00275
6c - percent pool,1000,0.0005,0.015,90,0.00775
7a,5,1.00001,0.999998,90,1
7a,50,1.00001,0.999998,90,1
7a,100,1.00001,0.999998,90,1
7a,150,1.00001,0.999998,90,1
7a,200,1.00001,0.999998,90,1
7a,250,1.00001,0.999998,90,1
7a,500,1.00001,0.999998,70,1
7a,1000,1.00001,0.999998,70,1.00001
7a,1500,1.00001,1.00003,70,1.00002
7a,2000,1.0001,1.0003,70,1.0002
7a,2500,1.0001,1.0005,70,1.0003
7a,3000,0.9999999,0.999997,70,0.99999845
7a,4000,0.995,0.994,70,0.9945
7a,5000,0.993,0.992,70,0.9925
7a,6000,0.95,0.94,70,0.945
7a,7000,0.91,0.9,70,0.905
7b,5,1.00001,0.999998,90,1
7b,50,1.00001,0.999998,90,1
7b,100,1.00001,0.999998,90,1
7b,150,1.00001,0.999998,90,1
7b,200,1.00001,0.999998,90,1
7b,250,1.00001,0.999998,90,1
7b,500,1.00001,0.999998,70,1
7b,1000,1.00001,0.999998,70,1.00001
7b,1500,1.00001,1.00003,70,1.00002
7b,2000,1.0001,1.0003,70,1.0002
7b,2500,1.0001,1.0005,70,1.0003
7b,3000,0.9999999,0.999997,70,0.99999845
7b,4000,0.995,0.994,70,0.9945
7b,5000,0.993,0.992,70,0.9925
7b,6000,0.95,0.94,70,0.945
7b,7000,0.91,0.9,70,0.905
7c,5,1.00001,0.999998,90,1
7c,50,1.00001,0.999998,90,1
7c,100,1.00001,0.999998,90,1
7c,150,1.00001,0.999998,90,1
7c,200,1.00001,0.999998,90,1
7c,250,1.00001,0.999998,90,1.000004
7c,500,1.00001,0.999998,90,1.000004
7c,1000,1.00001,0.999998,80,1.000004
7c,1500,1.00001,1.00003,70,1.00002
7c,2000,1.0001,1.0003,70,1.0002
7c,2500,1.0001,1.0005,70,1.0003
7c,3000,0.9999999,0.999997,70,0.99999845
7c,4000,0.995,0.994,70,0.9945
7c,5000,0.993,0.992,70,0.9925
7c,6000,0.95,0.94,70,0.945
7c,7000,0.91,0.9,70,0.905
